,pupil_timestamp,diameter_3d,model_confidence,diameter_3d_0,diameter_3d_1,time_duration,pp_time,st
0,77304.058531,3.1959020465680625,1.0,,3.1959020465680625,0.0,0.0,
1,77304.058557,3.0430884764119845,1.0,3.0430884764119845,,2.5999994250014424e-05,0.0,
2,77304.066478,3.0355673772680745,1.0,3.0355673772680745,,0.007946999990963377,0.0,
3,77304.066495,3.2082197556373853,1.0,,3.2082197556373853,0.007964000003994443,0.0,
4,77304.074533,3.053847848622428,1.0,3.053847848622428,,0.0160020000039367,0.0,
5,77304.082388,3.0437488192446915,1.0,3.0437488192446915,,0.02385699999285862,0.0,
6,77304.082448,3.1928420023126,1.0,,3.1928420023126,0.02391699999861885,0.0,
7,77304.090384,,,,,0.03185299999313429,0.0,
8,77304.090435,3.186367183354645,1.0,,3.186367183354645,0.031904000003123656,0.0,
9,77304.098327,3.042792244676404,1.0,3.042792244676404,,0.03979599999729544,0.0,
10,77304.098402,3.165781715695573,1.0,,3.165781715695573,0.03987100000085775,0.0,
11,77304.106477,3.176690217419721,1.0,,3.176690217419721,0.047945999991497956,0.0,
12,77304.106502,3.0398689454583065,1.0,3.0398689454583065,,0.04797099999268539,0.0,
13,77304.114506,,,,,0.05597499999566935,0.0,
14,77304.114544,,,,,0.056012999993981794,0.0,
15,77304.122557,3.184241550179456,1.0,,3.184241550179456,0.06402599999273662,0.0,
16,77304.122583,3.054721827387488,1.0,3.054721827387488,,0.06405200000153854,0.0,
17,77304.13295300001,3.1942974278468124,1.0,,3.1942974278468124,0.07442200000514276,0.0,
18,77304.132975,3.031677991244304,1.0,3.031677991244304,,0.07444399999803863,0.0,
19,77304.138535,,,,,0.08000400000310037,0.0,
20,77304.14649300001,,,,,0.0879620000050636,0.0,
21,77304.146517,3.206873461051478,1.0,,3.206873461051478,0.08798599999863654,0.0,
22,77304.154634,,,,,0.09610300000349525,0.0,
23,77304.154658,,,,,0.0961269999970682,0.0,
24,77304.16254,,,,,0.10400900000240654,0.0,
25,77304.162558,3.175253050008759,1.0,,3.175253050008759,0.10402699999394827,0.0,
26,77304.170684,3.173508819856263,1.0,,3.173508819856263,0.11215299999457784,0.0,
27,77304.178501,,,,,0.11996999999973923,0.0,
28,77304.178515,3.0424913328972707,1.0,3.0424913328972707,,0.11998400000447873,0.0,
29,77304.186458,,,,,0.12792699999408796,0.0,
30,77304.194481,3.1517776929065606,1.0,,3.1517776929065606,0.13594999999622814,0.0,
31,77304.194496,3.067678792722464,1.0,3.067678792722464,,0.13596499999403022,0.0,
32,77304.20254,,,,,0.1440089999960037,0.0,
33,77304.210456,,,,,0.15192499999830034,0.0,
34,77304.210459,,,,,0.15192799999203999,0.0,
35,77304.218474,3.1586299889154743,1.0,,3.1586299889154743,0.15994299999147188,0.0,
36,77304.218513,,,,,0.15998199999739882,0.0,
37,77304.226591,3.0767902568627656,1.0,3.0767902568627656,,0.1680599999963306,0.0,
38,77304.226594,3.1714623100300536,1.0,,3.1714623100300536,0.16806300000462215,0.0,
39,77304.234499,3.0783939285825923,1.0,3.0783939285825923,,0.17596799999591894,0.0,
40,77304.234518,,,,,0.17598699999507517,0.0,
41,77304.242556,3.0957057471819924,1.0,3.0957057471819924,,0.18402499999501742,0.0,
42,77304.242584,,,,,0.18405300000449643,0.0,
43,77304.25053,3.1945911801547577,1.0,,3.1945911801547577,0.19199900000239722,0.0,
44,77304.250531,3.081065195700824,1.0,3.081065195700824,,0.1919999999954598,0.0,
45,77304.258541,3.079278990053592,1.0,3.079278990053592,,0.20001000000047497,0.0,
46,77304.25857,,,,,0.20003900000301655,0.0,
47,77304.266478,3.0911751906735825,1.0,3.0911751906735825,,0.2079470000026049,0.0,
48,77304.266516,,,,,0.20798500000091735,0.0,
49,77304.274625,3.0997643088924844,1.0,3.0997643088924844,,0.21609400000306778,0.0,
50,77304.282379,3.095649848422487,1.0,3.095649848422487,,0.22384799999417737,0.0,
51,77304.282451,3.177854354930528,1.0,,3.177854354930528,0.22392000000400003,0.0,
52,77304.290394,,,,,0.23186299999360926,0.0,
53,77304.290486,,,,,0.23195499999565072,0.0,
54,77304.298308,3.109376096105731,1.0,3.109376096105731,,0.23977699999522883,0.0,
55,77304.298434,,,,,0.2399029999942286,0.0,
56,77304.306464,3.10966428042879,1.0,3.10966428042879,,0.24793299999146257,0.0,
57,77304.306519,,,,,0.24798800000280607,0.0,
58,77304.314506,3.093827300369144,1.0,3.093827300369144,,0.25597499999275897,0.0,
59,77304.315105,,,,,0.25657399999909103,0.0,
60,77304.322614,,,,,0.2640830000018468,0.0,
61,77304.322644,3.098973947940137,1.0,3.098973947940137,,0.26411299999745097,0.0,
62,77304.330359,,,,,0.27182799999718554,0.0,
63,77304.330423,,,,,0.2718920000042999,0.0,
64,77304.338754,,,,,0.2802229999942938,0.0,
65,77304.346503,3.3151095351143094,1.0,3.3151095351143094,,0.28797199999098666,0.0,
66,77304.348281,3.724509918513485,1.0,,3.724509918513485,0.2897499999962747,0.0,
67,77304.35648,3.331112883938199,1.0,3.331112883938199,,0.2979489999997895,0.0,
68,77304.357092,3.5029207222547782,1.0,,3.5029207222547782,0.2985610000032466,0.0,
69,77304.36655,,,,,0.3080190000036964,0.0,
70,77304.367818,,,,,0.3092869999964023,0.0,
71,77304.376972,,,,,0.31844099999580067,0.0,
72,77304.377389,,,,,0.3188579999987269,0.0,
73,77304.38687,3.250770257101392,1.0,,3.250770257101392,0.3283389999996871,0.0,
74,77304.386919,3.09133834740451,1.0,3.09133834740451,,0.32838799999444745,0.0,
